file_name,current_url,new_url,num_pages
notion_style_banners_lgt_33.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_33.jpg?raw=true,,5
Sql.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/Sql.jpg?raw=true,,5
scikit_lean2.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/scikit_lean2.jpg?raw=true,,4
BeautifulSoup.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/BeautifulSoup.jpg?raw=true,,4
seaborn.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/seaborn.jpg?raw=true,,4
notion_style_banners_lgt_12.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_12.jpg?raw=true,,4
notion_style_banners_lgt_22.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_22.jpg?raw=true,,4
notion_style_banners_lgt_29.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_29.jpg?raw=true,,4
notion_style_banners_lgt_37.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_37.jpg?raw=true,,4
lua.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/lua.jpg?raw=true,,4
notion_style_banners_lgt_14.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_14.jpg?raw=true,,3
notion_style_banners_lgt_17.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_17.jpg?raw=true,,3
notion_style_banners_lgt_08.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_08.jpg?raw=true,,3
ventoy.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/ventoy.jpg?raw=true,,3
notion_style_banners_lgt_04.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/notion_style_banners_lgt_04.jpg?raw=true,,3
github.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/github.jpg?raw=true,,3
PyTorch.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/PyTorch.jpg?raw=true,,2
TensorFlow.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/TensorFlow.jpg?raw=true,,2
Numba.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/Numba.jpg?raw=true,,2
CuPy.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/CuPy.jpg?raw=true,,2
arnold_banner.avif,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/arnold_banner.avif?raw=true,,2
karma_banner.jpg,https://github.com/suhailphotos/notionUtils/blob/main/assets/media/banner/karma_banner.jpg?raw=true,,2
